seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
465;75;0.936797;1;0.0632035;20;15;0;1.54919;1.54919;0.291521
466;75;0.930504;1;0.0694956;20;15;0.632456;1.26491;1.89737;0.278864
467;75;0.918064;1;0.0819358;20;15;0.632456;1.67332;2.30578;0.297639
468;75;0.918723;1;0.0812767;20;15;1.41421;1.26491;2.67912;0.289766
469;75;0.92431;1;0.0756898;20;15;1.54919;1.41421;2.96341;0.300362
470;75;0.925455;1;0.0745453;20;15;0.632456;0.894427;1.52688;0.305465
471;75;0.938025;1;0.0619754;20;15;0;0.894427;0.894427;0.282876
472;75;0.922118;1;0.0778817;20;15;0.632456;0;0.632456;0.294121
473;75;0.934534;1;0.0654662;20;15;0;2.09762;2.09762;0.313254
474;75;0.923646;1;0.0763539;20;15;1.78885;0;1.78885;0.313712
475;75;0.929777;1;0.0702232;20;15;0.632456;0.632456;1.26491;0.291643
476;75;0.920386;1;0.0796143;20;15;0;1.41421;1.41421;0.288767
477;75;0.928688;1;0.0713122;20;15;0.632456;1.09545;1.7279;0.295536
478;75;0.91761;1;0.0823902;20;15;0.632456;0.632456;1.26491;0.296516
479;75;0.927093;1;0.0729067;20;15;1.09545;0.894427;1.98987;0.286394
480;75;0.924001;1;0.0759986;20;15;0;0;0;0.288211
481;75;0.934512;1;0.0654883;20;15;0.632456;0.632456;1.26491;0.289734
482;75;0.916287;1;0.0837131;20;15;0;0.894427;0.894427;0.31598
483;75;0.912348;1;0.0876519;20;15;0;0;0;0.300148
484;75;0.917376;1;0.0826235;20;15;0;0;0;0.298979
485;75;0.945186;1;0.0548143;20;15;0;0;0;0.295581
486;75;0.915009;1;0.0849909;20;15;0.632456;1.41421;2.04667;0.290278
487;75;0.921793;1;0.0782066;20;15;0;1.09545;1.09545;0.294055
488;75;0.922598;1;0.0774016;20;15;0;1.26491;1.26491;0.286502
489;75;0.924699;1;0.0753012;20;15;0.632456;0.632456;1.26491;0.2775
490;75;0.900981;1;0.0990188;20;15;1.54919;0.632456;2.18165;0.313855
491;75;0.882326;1;0.117674;20;15;0;1.41421;1.41421;0.293486
492;75;0.904254;1;0.0957457;20;15;1.26491;1.09545;2.36036;0.29173
493;75;0.919287;1;0.080713;20;15;1.67332;1.41421;3.08753;0.301265
