seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
221;50;0.499911;1;8.88879e-05;20;12;0.632456;1.35647;4.98892;0.286809
222;50;0.499976;1;2.38176e-05;20;10;1.78885;0.632456;7.42131;0.289929
223;52;0.501018;1;0.0410177;20;14;1.67332;1.16619;3.83951;0.279896
224;50;0.499852;1;0.000147687;20;9;1.09545;0.4;7.49545;0.288723
225;50;0.500065;1;6.47669e-05;20;7;1.41421;1.0198;10.434;0.296031
226;50;0.499988;1;1.18926e-05;20;8;1.26491;1.0198;9.28471;0.2869
227;53;0.499294;1;0.0607058;20;14;0.894427;2.22711;4.12153;0.292028
228;50;0.49957;1;0.000430204;20;11;0.632456;1.6;6.23246;0.278256
229;50;0.499656;1;0.000344406;20;8;0.894427;1.49666;9.39109;0.284599
230;50;0.499778;1;0.000221691;20;12;1.41421;1.85472;6.26894;0.291665
231;50;0.500023;1;2.33332e-05;20;11;1.67332;2.13542;7.80874;0.286987
232;50;0.500024;1;2.40865e-05;20;12;0.632456;0.8;4.43246;0.28176
233;50;0.500073;1;7.27965e-05;20;13;0.894427;1.0198;3.91423;0.286141
234;50;0.499978;1;2.16999e-05;20;10;0;0.894427;5.89443;0.285187
235;50;0.50007;1;6.98202e-05;20;12;1.41421;1.0198;5.43402;0.278736
236;50;0.500023;1;2.27858e-05;20;10;0.894427;0.894427;6.78885;0.288606
237;50;0.500007;1;7.04063e-06;20;10;1.41421;1.67332;8.08753;0.3058
238;50;0.499953;1;4.65802e-05;20;12;1.26491;2.05913;6.32404;0.288389
239;50;0.500048;1;4.8087e-05;20;13;1.78885;1.85472;5.64358;0.279939
240;50;0.499546;1;0.000454162;20;11;0.632456;1.72047;6.35292;0.281286
241;50;0.500018;1;1.80128e-05;20;7;2.28035;0.489898;10.7702;0.28818
242;50;0.499994;1;6.40067e-06;20;8;2.19089;0.489898;9.68079;0.303477
243;50;0.499926;1;7.39787e-05;20;10;1.09545;1.26491;7.36036;0.301666
244;50;0.500548;1;0.000547951;20;10;0;1.26491;6.26491;0.281949
245;50;0.499945;1;5.54002e-05;20;8;0.632456;1.85472;9.48718;0.289971
246;50;0.500032;1;3.20649e-05;20;10;0.632456;1.78885;7.42131;0.285707
247;50;0.49956;1;0.00043995;20;12;0.632456;1.0198;4.65226;0.283127
248;50;0.500094;1;9.43898e-05;20;11;0.632456;0.748331;5.38079;0.280203
249;50;0.500002;1;2.42646e-06;20;12;2.09762;1.74356;6.84118;0.334014
250;50;0.499748;1;0.000251576;20;8;1.09545;1.35647;9.45191;0.319847
251;50;0.499979;1;2.06467e-05;20;5;2.09762;0.894427;12.992;0.336454
252;50;0.49986;1;0.000139504;20;13;1.26491;1.95959;5.2245;0.326354
253;50;0.499907;1;9.26653e-05;20;11;1.67332;1.16619;6.83951;0.299078
254;50;0.5;1;3.80504e-07;20;15;0;1.89737;1.89737;0.372131
255;50;0.501106;1;0.00110645;20;13;1.67332;2.41661;6.08993;0.383981
256;50;0.49996;1;3.96447e-05;20;7;1.09545;1.2;10.2954;0.365433
